timestamp,trade_id,ticker,instrument,status,failure_type,failure_score,weighted_score,theta_risk,cvd_confirmation,direction_score,timing_score,magnitude_score,volatility_score,catalyst_score,exit_score,absorption_capacity_mod,selling_pressure_mod,model_update_note
2026-06-10T03:30:14+00:00,1,SPY,SPY Put,Near Breakeven,Timing,0.4166666654249032,0.4249999960884452,0.8999999761581421,1,0.5,-0.5,0.0,0.0,0.20000000298023224,0.800000011920929,0.30000001192092896,-0.10000000149011612,Increase timing decay factor; down-weight premium accelerati
2026-06-10T03:32:23+00:00,1,SPY,SPY Put,Near Breakeven,Timing,0.4166666654249032,0.4290391636614283,0.8999999761581421,1,0.5,-0.5,0.0,0.0,0.20000000298023224,0.800000011920929,0.30000001192092896,-0.10000000149011612,Increase timing decay factor; down-weight premium accelerati
2026-06-10T03:33:04+00:00,1,SPY,SPY Put,Near Breakeven,Timing,0.4166666654249032,0.4249999960884452,0.8999999761581421,1,0.5,-0.5,0.0,0.0,0.20000000298023224,0.800000011920929,0.30000001192092896,-0.10000000149011612,Increase timing decay factor; down-weight premium accelerati
2026-06-10T03:35:03+00:00,1,SPY,SPY Put,Near Breakeven,Timing,0.42895132924119633,0.3712442622972032,0.37688499689102173,1,0.3557802438735962,-0.46904000639915466,-0.22565264999866486,-0.41000351309776306,1.0,0.6014999747276306,0.1312011182308197,0.059296708554029465,"CSV-derived optimal SPY260609P00736000: IV 0.29, delta -0.37"
2026-06-10T16:45:36+00:00,1,SPY,SPY Put,Near Breakeven,Timing,0.4166666654249032,0.4313447344023785,0.8999999761581421,1,0.5,-0.5,0.0,0.0,0.20000000298023224,0.800000011920929,0.30000001192092896,-0.10000000149011612,Increase timing decay factor; down-weight premium accelerati
2026-06-10T16:50:56+00:00,1,SPY,SPY Put,Near Breakeven,Timing,0.4166666654249032,0.43510571019802496,0.8999999761581421,1,0.5,-0.5,0.0,0.0,0.20000000298023224,0.800000011920929,0.30000001192092896,-0.10000000149011612,Increase timing decay factor; down-weight premium accelerati
2026-06-10T17:03:36+00:00,1,SPY,SPY Put,Near Breakeven,Timing,0.4166666654249032,0.43871898430377315,0.8999999761581421,1,0.5,-0.5,0.0,0.0,0.20000000298023224,0.800000011920929,0.30000001192092896,-0.10000000149011612,Increase timing decay factor; down-weight premium accelerati
2026-06-11T02:55:16+00:00,1,SPY,SPY Put,Near Breakeven,Timing,0.42895132924119633,0.38123503990365337,0.37688499689102173,1,0.3557802438735962,-0.46904000639915466,-0.22565264999866486,-0.41000351309776306,1.0,0.6014999747276306,0.1312011182308197,0.059296708554029465,"CSV-derived optimal SPY260609P00736000: IV 0.29, delta -0.37"
2026-06-11T02:56:04+00:00,1,SPY,SPY Put,Near Breakeven,Timing,0.42895132924119633,0.3844257231643175,0.37688499689102173,1,0.3557802438735962,-0.46904000639915466,-0.22565264999866486,-0.41000351309776306,1.0,0.6014999747276306,0.1312011182308197,0.059296708554029465,"CSV-derived optimal SPY260609P00736000: IV 0.29, delta -0.37"
2026-06-11T02:56:23+00:00,1,SPY,SPY Put,Near Breakeven,Timing,0.4447006272772948,0.38889027568020185,0.3147599995136261,1,0.3557802438735962,-0.5185199975967407,-0.22565264999866486,-0.13700351119041443,0.5852383971214294,0.6037499904632568,0.043841127306222916,0.059296708554029465,"CSV-derived optimal SPY260616P00735000: IV 0.18, delta -0.45"
2026-06-11T04:08:35+00:00,1,SPY,SPY Put,Near Breakeven,Timing,0.4447006272772948,0.3910488217861842,0.3147599995136261,1,0.3557802438735962,-0.5185199975967407,-0.22565264999866486,-0.13700351119041443,0.5852383971214294,0.6037499904632568,0.043841127306222916,0.059296708554029465,"CSV-derived optimal SPY260616P00735000: IV 0.18, delta -0.45"
